snr,E,eta,a1,a2,a3,potenciaEspiao,ataquePresente
-10,0.9996915348758206,21.492247223320522,186.91709226187638,177.7309304546899,146.21037401088657,0.0,0
-10,1.0618251842452244,21.492247223320522,198.18768858720205,158.98957584538726,148.20234359833756,0.0,0
-10,1.185447818368829,21.492247223320522,187.66578035941654,160.01928498389276,155.0532396183754,0.0,0
-10,1.0561470098320787,21.492247223320522,190.31258467531893,174.09502964115254,161.24531006751994,0.0,0
-10,1.025655309709993,21.492247223320522,181.8209937304276,174.79532967682658,155.3364606985458,0.0,0
-10,1.2189994646152944,21.492247223320522,208.77586198434182,190.12481600379988,158.77176023717956,0.0,0
-10,1.035315523134489,21.492247223320522,212.07907619824377,166.37635182802444,148.23588482299098,0.0,0
-10,1.083847435752567,21.492247223320522,220.61600060378595,177.35344239032284,142.7242583311947,0.0,0
-10,1.0385808075518774,21.492247223320522,204.47018834904367,184.43248036454247,149.8363118733734,0.0,0
-10,1.0573739410118286,21.492247223320522,197.453387174603,172.6732388612525,159.2771101915316,0.0,0
-10,1.1136155535976466,21.492247223320522,202.71345442393982,171.03329981156307,155.325374888086,0.0,0
-10,1.1202729826102464,21.492247223320522,202.63506142555713,164.67191412398915,150.71741209508812,0.0,0
-10,1.0494209929877536,21.492247223320522,211.12482813297433,178.8435996745681,169.28847565866235,0.0,0
-10,1.16057831905799,21.492247223320522,221.4146910415575,181.73398484081133,152.8735574597092,0.0,0
-10,1.127131594245323,21.492247223320522,197.66052569947507,184.17634661835288,163.3863249871269,0.0,0
-10,1.1337806071448528,21.492247223320522,195.1420642979944,166.24068485807672,154.56520208660908,0.0,0
-10,1.168273455284226,21.492247223320522,217.65832422731435,181.77333281944397,158.29274325704418,0.0,0
-10,1.057204989106395,21.492247223320522,195.06310677290614,186.5546953491615,152.75391177469416,0.0,0
-10,1.0520235115738643,21.492247223320522,194.9959120298347,181.68750634816735,159.1232867710219,0.0,0
-10,0.9994219785022704,21.492247223320522,200.35029944560756,176.41342219858555,152.25292335294822,0.0,0
-10,1.0687218777819671,21.492247223320522,190.36358792626453,170.43972333194196,148.7956555787711,0.0,0
-10,1.021355939867012,21.492247223320522,195.44021986066912,173.71738430362802,158.8567237882833,0.0,0
-10,1.0349650942414286,21.492247223320522,197.68857392024626,178.4604232014919,152.31381431309478,0.0,0
-10,1.0816246789705866,21.492247223320522,204.54346161554378,171.5409627390945,148.5019947738173,0.0,0
-10,1.0065377976433236,21.492247223320522,214.28897141746546,182.28956901174155,156.0226322509581,0.0,0
-10,1.0658057435719175,21.492247223320522,179.644685624755,172.12486232805975,151.93040849064548,0.0,0
-10,1.0248527523159108,21.492247223320522,181.13332657637332,162.79267224479784,152.00260090029596,0.0,0
-10,1.0780709789137335,21.492247223320522,178.9593309971259,168.21732790569766,156.6508670068169,0.0,0
-10,1.0859494078852856,21.492247223320522,212.29940484871898,177.78466844254442,163.6916380545027,0.0,0
-10,1.0725482118594285,21.492247223320522,183.26947493626602,174.57308553365203,152.72438186835691,0.0,0
-10,1.1292468245334337,21.492247223320522,201.3486943470615,179.63269817959952,156.46327023612326,0.0,0
-10,1.1699483315552373,21.492247223320522,187.2316620143245,178.2913722731798,157.94918838380488,0.0,0
-10,1.075858606749153,21.492247223320522,209.11566903545744,168.71356873615812,148.86531136208845,0.0,0
-10,1.061927725147699,21.492247223320522,198.17067226643607,153.618234789563,147.1212317923664,0.0,0
